Название,Тикер,Биржа,Cектор,Изм.%
Shree Renuka Sugars,SRES,NSE,Производители товаров массового потребления,"2,87"
SRF,SRFL,NSE,Материалы,"-0,9"
Sree Rayalaseema Hi Strength,SRHL,NSE,Материалы,"1,48"
Strides Pharma,SRID,NSE,Здравоохранение,"-1,45"
Shriram Properties,SRIP,NSE,Недвижимость,"-2,32"
Sri Havisha Hospitality and Infrastructure,SRIS,NSE,Потребительский сектор,"-2,08"
Shree Rama Newsprint Ltd,SRNP,NSE,Материалы,0
Shreyas Shipping Logistics,SRSH,NSE,Промышленность,"-1,27"
Shri Ram Switchgears,SRSW,NSE,Промышленность,0
Shriram Transport Finance,SRTR,NSE,Финансы,"-1,68"
Sarveshwar Foods,SRVE,NSE,Производители товаров массового потребления,"-3,05"
S S Infrastructure,SSFR,NSE,Промышленность,0
Seshasayee Paper Boards,SSHA,NSE,Материалы,"0,45"
Super Spinning Mills Ltd,SSPM,NSE,Потребительский сектор,"-0,91"
S & S Power Switchgear,SSPW,NSE,Промышленность,"0,37"
Starteck Finance,STAE,NSE,Финансы,"-0,04"
Stampede Capital,STAM,NSE,Финансы,0
Stampede Capital DVR,STAMdv,NSE,Финансы,"1,4"
Star Cement,STAT,NSE,Материалы,"-0,93"
Star Health and Allied Insurance,STAU,NSE,Финансы,"1,97"
Sterling Biotech,STBI,NSE,Здравоохранение,0
The State Trading Corp.,STCI,NSE,Промышленность,"-2,54"
Steel Cast,STCL,NSE,Материалы,"0,18"
Standard Industries,STDI,NSE,Промышленность,"0,23"
Steel Exchange India,STEI,NSE,Материалы,"-0,77"
STEL Holdings Ltd,STEL,NSE,Финансы,"-3,36"
Sterling and Wilson Solar Ltd,STEN,NSE,Промышленность,"-1,37"
STL Global,STLG,NSE,Потребительский сектор,"-1,88"
Stove Kraft,STOE,NSE,Потребительский сектор,"-0,33"
Star Paper Mills Ltd,STPM,NSE,Материалы,"1,33"
Sterlite Technologies,STTE,NSE,Информационные технологии,"-1,71"
Sterling Tools,STTL,NSE,Потребительский сектор,"0,21"
Steel Strips Wheels Ltd,STWH,NSE,Потребительский сектор,"-0,78"
Stylam Ind,STYL,NSE,Промышленность,"0,02"
Surani Steel Tubes,SUAN,NSE,Материалы,0
Subros Ltd,SUBR,NSE,Потребительский сектор,"-3,06"
Subex Ltd,SUBX,NSE,Информационные технологии,"1,52"
Sumeet Industries Ltd,SUIN,NSE,Потребительский сектор,"-0,79"
Sumitomo Chemical,SUMH,NSE,Материалы,"-1,89"
Summit Securities Ltd,SUMM,NSE,Финансы,"-0,32"
Sundaram Multi Pap Ltd,SUMP,NSE,Материалы,"-1,69"
Sumit Woods,SUMW,NSE,Недвижимость,"-1,57"
Sun Pharma AR,SUN,NSE,Здравоохранение,"-1,08"
Sundaram Clayton Ltd,SUND,NSE,Потребительский сектор,"-0,02"
Sunteck Realty,SUNT,NSE,Недвижимость,"-1,37"
Suprajit Engineering Ltd,SUPE,NSE,Потребительский сектор,"-0,75"
Supreme Engineering,SUPG,NSE,Материалы,0
Supreme Industries,SUPI,NSE,Материалы,"-0,83"
Surana Solar,SURN,NSE,Информационные технологии,"-2,69"
Suryoday Small Finance Bank,SURO,NSE,Финансы,"1,54"
Surya Roshni,SURR,NSE,Материалы,"-0,28"
Surana Telecom and Power,SURT,NSE,Промышленность,"0,43"
Sutlej Textiles,SUTI,NSE,Потребительский сектор,"-0,29"
Sun TV Network Ltd,SUTV,NSE,Услуги связи,"-0,72"
Suumaya Lifestyle,SUUM,NSE,Потребительский сектор,"1,81"
Suvidhaa Infoserve,SUVD,NSE,Информационные технологии,"-0,85"
Suven Pharma,SUVH,NSE,Здравоохранение,"-1,8"
Suven Life Sciences Ltd,SUVP,NSE,Здравоохранение,"-1,99"
Suzlon Energy,SUZL,NSE,Промышленность,"1,31"
Shiva Mills,SVAM,NSE,Потребительский сектор,"-1,22"
SVP Global Ventures,SVPG,NSE,Потребительский сектор,"-2,48"
Swan Energy Ltd,SWAN,NSE,Потребительский сектор,"0,27"
Swaraj Engines,SWAR,NSE,Промышленность,"4,02"
Swaraj Suiting,SWAU,NSE,Потребительский сектор,0
Swelect Energy Systems Ltd,SWEL,NSE,Промышленность,"-1,37"
South West Pinnacle,SWPI,NSE,Материалы,"2,17"
Symphony Ltd,SYMP,NSE,Потребительский сектор,"-0,91"
Syngene International Ltd,SYNN,NSE,Здравоохранение,"-0,31"
Synergy Green,SYNR,NSE,Промышленность,"0,03"
Syrma SGS Tech,SYRM,NSE,Информационные технологии,"-1,33"
Tasty Bite Eatables,TABE,NSE,Производители товаров массового потребления,"-0,38"
Tata Consumer Products,TACN,NSE,Производители товаров массового потребления,"-2,97"
Tata Coffee,TACO,NSE,Производители товаров массового потребления,"-1,89"
Tainwala Chemicals Plastic,TAIN,NSE,Материалы,"-2,86"
Taj GVK Hotels & Resorts,TAJG,NSE,Потребительский сектор,"-2,98"
Take Solutions Ltd,TAKE,NSE,Здравоохранение,"-2,17"
Talbros Automotive Components,TALB,NSE,Потребительский сектор,"-0,15"
Talwalkars Better Val Fitness,TALW,NSE,Потребительский сектор,0
Tata Motors DV Ltd,TAMdv,NSE,Потребительский сектор,"-2,53"
Tamilnad Mercantile Bank,TAMI,NSE,Финансы,"-1,09"
Tata Motors,TAMO,NSE,Потребительский сектор,"-4,05"
Tamilnadu Telecomm,TAMT,NSE,Информационные технологии,"0,62"
Tantia Constructions Ltd,TANC,NSE,Промышленность,"-4,9"
Tarapur Transformers Ltd,TARA,NSE,Промышленность,"-3,16"
Tara Chand Logistic,TARC,NSE,Промышленность,"-7,33"
Tarmat Ltd,TARM,NSE,Промышленность,"-2,8"
Tarsons Products,TARO,NSE,Здравоохранение,"-0,38"
Tarc,TART,NSE,Недвижимость,"1,26"
Tata Communications,TATA,NSE,Услуги связи,"-0,62"
Tatva Chintan Pharma Chem Pvt,TATV,NSE,Материалы,"-0,9"
Tube Invest India,TBEI,NSE,Потребительский сектор,"-0,12"
Byke Hospitality Ltd,TBKH,NSE,Потребительский сектор,"-2,82"
Tribhovandas Bhimji Zaveri,TBZL,NSE,Потребительский сектор,"-1,37"
TCI Developers Ltd,TCID,NSE,Недвижимость,"-0,59"
TCI Express,TCIE,NSE,Промышленность,"0,91"
TCI Finance Ltd,TCII,NSE,Финансы,"4,82"
Transport Corp of India,TCIL,NSE,Промышленность,"-4,39"
TCNS Clothing,TCNS,NSE,Потребительский сектор,"0,15"
TCPL Packaging,TCPL,NSE,Материалы,"4,02"
Tata Consult,TCS,NSE,Информационные технологии,"1,73"
Td Power,TDPS,NSE,Промышленность,"-2,87"
Technofab Engineering Ltd,TECN,NSE,Промышленность,0
Techno Electric,TEEC,NSE,Промышленность,"-0,89"
Tega Industries,TEGA,NSE,Промышленность,"-0,57"
Technocraft Industries India,TEIN,NSE,Промышленность,"-0,41"
Tejas Networks,TEJS,NSE,Информационные технологии,"2,88"
Tembo Global Industries,TEMB,NSE,Материалы,"-0,48"
Tech Mahindra,TEML,NSE,Информационные технологии,"-0,06"
Techindia Nirman Ltd,TENI,NSE,Недвижимость,"0,99"
Tera Software,TERA,NSE,Информационные технологии,"-0,85"
Texmaco Rail Engineering Ltd,TEXA,NSE,Промышленность,"-1,28"
Texmaco Infrastructure Hold,TEXM,NSE,Недвижимость,"0,33"
Texmo Pipes Products Ltd,TEXO,NSE,Материалы,"0,47"
Tourism Finance Corp of India,TFCI,NSE,Финансы,"-2,23"
TGB Banquets Hotels Ltd,TGBB,NSE,Потребительский сектор,"1,33"
Times Guaranty Ltd,TGFL,NSE,Финансы,"-4,88"
Tree House Education Accessories,THEA,NSE,Потребительский сектор,"-3,7"
New India Assurance,THEE,NSE,Финансы,"-1,08"
Grob Tea,THEG,NSE,Производители товаров массового потребления,"-0,84"
Thejo Engineering Ltd,THEJ,NSE,Промышленность,"1,15"
Themis Medicare Ltd,THEM,NSE,Здравоохранение,"-3,72"
Thiru Arooran Sugars Ltd,THIR,NSE,Производители товаров массового потребления,0
Thermax,THMX,NSE,Промышленность,"-0,77"
Thanga Mayil Jewellery Ltd,THNG,NSE,Потребительский сектор,"-2,6"
Thomas Cook India,THOM,NSE,Потребительский сектор,"1,15"
Thirumalai Chemicals,THRM,NSE,Материалы,"0,98"
Thyrocare Technologies Ltd,THYO,NSE,Здравоохранение,"-0,98"
Tide Water Oil India Co Ltd,TIDE,NSE,Материалы,"0,68"
3i Infotech,TIIN,NSE,Информационные технологии,"-1,7"
Tijaria Polypipes Ltd,TIJA,NSE,Промышленность,0
Tilaknagar Industries Ltd,TILK,NSE,Производители товаров массового потребления,-5
TIL Ltd,TILL,NSE,Промышленность,"-0,31"
Timescan Logistics India,TIMC,NSE,Промышленность,0
Time Technoplast Ltd,TIME,NSE,Материалы,"-0,23"
Timken India,TIMK,NSE,Промышленность,"1,98"
Tinplate Company,TINP,NSE,Материалы,"-0,35"
Tata Investment Corporation,TINV,NSE,Финансы,"-1,49"
Tips Industries Ltd,TIPS,NSE,Услуги связи,"-1,12"
Tirupati Forge,TIRF,NSE,Материалы,"3,75"
Tata Steel Ltd,TISC,NSE,Материалы,"-0,44"
Titan Company,TITN,NSE,Потребительский сектор,"-2,04"
Titagarh Wagons Ltd,TITW,NSE,Промышленность,"1,37"
Teamlease Services,TLSV,NSE,Промышленность,"-0,74"
Talwalkars Lifestyles,TLWA,NSE,Потребительский сектор,0
Tata Metaliks,TMET,NSE,Материалы,"0,31"
3M India,TMIN,NSE,Промышленность,"-0,37"
Tamil Nadu Newsprint & Papers,TNNP,NSE,Материалы,"2,99"
Tanla Platforms,TNSL,NSE,Информационные технологии,"-0,7"
Invest Trust India,TNVE,NSE,Финансы,"-2,06"
Torrent Power Ltd,TOPO,NSE,Коммунальные услуги,"-0,05"
Torrent Pharmaceuticals,TORP,NSE,Здравоохранение,"0,79"
Total Transport Systems,TOTA,NSE,Промышленность,"-1,2"
Touchwood Entertainment,TOUC,NSE,Услуги связи,0
Tamilnadu Petroproducts Ltd,TPL,NSE,Материалы,"-1,91"
Tokyo Plast International Ltd,TPLI,NSE,Потребительский сектор,"1,69"
TPL Plastech Ltd,TPLP,NSE,Материалы,"-0,1"
Transwind Infrastructures,TRAW,NSE,Промышленность,0
Madras Cements,TRCE,NSE,Материалы,"-1,77"
Triveni Engineering,TREI,NSE,Производители товаров массового потребления,"-1,01"
Trejhara Solutions,TREJ,NSE,Информационные технологии,"-1,9"
Trent,TREN,NSE,Потребительский сектор,"-1,69"
Transwarranty Finance Ltd,TRFI,NSE,Финансы,"1,06"
Trident,TRIE,NSE,Потребительский сектор,"-2,23"
Trigyn Technologies Ltd,TRIG,NSE,Информационные технологии,"-1,83"
Transformers Rectifiers,TRNF,NSE,Промышленность,"-2,87"
Trucap Finance,TRUC,NSE,Финансы,"-3,11"
Triveni Turbine Ltd,TRVT,NSE,Промышленность,3
Thomas Scott India Ltd,TSIL,NSE,Потребительский сектор,"-4,71"
Tata Chemicals,TTCH,NSE,Материалы,"1,24"
Tata Elxsi Limited,TTEX,NSE,Информационные технологии,"-0,01"
TTK Healthcare,TTKH,NSE,Здравоохранение,"1,62"
Ttk Prestige Ltd,TTKL,NSE,Потребительский сектор,"-1,21"
T T Ltd,TTL,NSE,Потребительский сектор,"-1,89"
Tata Teleservices,TTML,NSE,Услуги связи,"-1,3"
Tata Power,TTPW,NSE,Коммунальные услуги,"-1,37"
TRF Ltd,TTRO,NSE,Промышленность,-5
Tata Steel Prod,TTST,NSE,Материалы,"-0,29"
Tulsi Extrusions Ltd,TULE,NSE,Материалы,0
TV18 Broadcast,TVEB,NSE,Услуги связи,"-1,79"
TVS Electronics Ltd,TVEL,NSE,Информационные технологии,"-0,93"
TVS Srichakra Ltd,TVSC,NSE,Потребительский сектор,"1,6"
TVS Motor Company,TVSM,NSE,Потребительский сектор,"-2,48"
TV Today Network,TVTO,NSE,Услуги связи,"0,75"
TV Vision,TVVI,NSE,Услуги связи,0
Twentyfirst Century Management,TWMS,NSE,Финансы,"0,43"
United Breweries,UBBW,NSE,Производители товаров массового потребления,"-1,16"
UCAL Fuel Systems Ltd,UCAF,NSE,Потребительский сектор,"-2,25"
UCO Bank,UCBK,NSE,Финансы,"-0,84"
Udaipur Cement Works,UDCW,NSE,Материалы,"0,61"
UFLEX,UFLX,NSE,Материалы,"-1,92"
UFO Moviez India Ltd,UFOM,NSE,Услуги связи,"-1,84"
Ugro Capital,UGRO,NSE,Финансы,"-2,77"
Ugar Sugar Works Ltd,UGSW,NSE,Производители товаров массового потребления,3
Univastu India,UIVA,NSE,Промышленность,"3,13"
Ujaas Energy Ltd,UJAA,NSE,Промышленность,0
Ujjivan Small Fin,UJJI,NSE,Финансы,"-2,33"
Ujjivan Financial Services Ltd,UJVF,NSE,Финансы,"0,51"
Ultra Wiring Connect,ULRA,NSE,Потребительский сектор,"2,36"
UltraTech,ULTC,NSE,Материалы,"-0,86"
UMA Exports,UMAE,NSE,Производители товаров массового потребления,"-2,94"
Umang Dairies Ltd,UMDA,NSE,Производители товаров массового потребления,"-1,87"
Union Bank of India,UNBK,NSE,Финансы,"-1,46"
United Drilling Tools,UNDR,NSE,Энергетика,"-1,63"
Universus Photo Imagings,UNIH,NSE,Материалы,"19,99"
United Nilgiri Tea Estates Co,UNIL,NSE,Производители товаров массового потребления,"-2,09"
Uniply Industries,UNIN,NSE,Материалы,0
Unichem Laboratories,UNLB,NSE,Здравоохранение,"-5,86"
Uniinfo Telecom,UNNI,NSE,Промышленность,"1,71"
Minda Industries,UNOI,NSE,Потребительский сектор,"0,76"
Uniphos Enterprises Ltd,UNPH,NSE,Промышленность,"-2,06"
United Spirits,UNSP,NSE,Производители товаров массового потребления,"-1,98"
United Polyfab,UNTD,NSE,Потребительский сектор,"3,01"
Unitech,UNTE,NSE,Недвижимость,0
Universal Cables Ltd,UNVR,NSE,Промышленность,"0,48"
United Phosphorus,UPLL,NSE,Материалы,"-1,46"
Uravi T & Wedge Lamps,URAV,NSE,Потребительский сектор,0
Urja Global,URJA,NSE,Информационные технологии,"-1,29"
Urja Global PP,URJApp,NSE,Информационные технологии,0
Usha Martin,USBL,NSE,Материалы,"-0,51"
Ushanti Colour Chem,USHN,NSE,Материалы,0
Usha Martin Education Solutions,USME,NSE,Потребительский сектор,"-1,15"
Uti Asset,UTIA,NSE,Финансы,"1,69"
Unity Infraprojects,UTIL,NSE,Промышленность,0
Uttam Sugar Mills Ltd,UTSM,NSE,Производители товаров массового потребления,"-1,21"
Uttam Galva Steels,UTTM,NSE,Материалы,0
Vadivarhe Speciality Chemicals,VADV,NSE,Материалы,0
Vaibhav Global,VAIB,NSE,Потребительский сектор,"-2,04"
Vaidya Sane Ayurved Laboratories,VAID,NSE,Здравоохранение,"4,13"
Vaishali Pharma,VAIH,NSE,Здравоохранение,3
Vakrangee Softwares Ltd,VAKR,NSE,Информационные технологии,"-4,25"
Valecha Engineering Ltd,VALE,NSE,Промышленность,0
Valiant Organics,VALN,NSE,Материалы,"-1,14"
Varun Beverages,VARB,NSE,Производители товаров массового потребления,-4
Vardhman Acrylics Ltd,VARD,NSE,Потребительский сектор,"-2,56"
Varroc Engineering,VARE,NSE,Потребительский сектор,"1,67"
Vardhman Special Steels Ltd,VARM,NSE,Материалы,-1
Vardhman Polytex Ltd,VARP,NSE,Потребительский сектор,"-0,49"
Vardhman Textiles Ltd,VART,NSE,Потребительский сектор,"2,77"
Vasa Retail Overseas,VASA,NSE,Потребительский сектор,0
Vascon Engineers Ltd,VASC,NSE,Промышленность,"3,31"
Vaswani Industries Ltd,VASW,NSE,Материалы,"-0,94"
Va Tech Wabag Ltd,VATE,NSE,Коммунальные услуги,"-2,66"
Vaxtex Cotfab,VATX,NSE,Потребительский сектор,"0,51"
Vedanta,VDAN,NSE,Материалы,"1,66"
Vedanta Pref,VDAN_p,NSE,,0
Vadilal Industries Ltd,VDLI,NSE,Производители товаров массового потребления,"-1,91"
Videocon Industries,VEDI,NSE,Потребительский сектор,0
Vedant Fashions,VEDN,NSE,Потребительский сектор,"-1,6"
Venkys India,VENK,NSE,Производители товаров массового потребления,"-1,93"
Venus Remedies Ltd,VENR,NSE,Здравоохранение,"-1,79"
Venus Pipes Tubes,VENS,NSE,Материалы,"-1,67"
Vera Synthetic,VERA,NSE,Потребительский сектор,0
Veranda Learning Solutions,VERN,NSE,Потребительский сектор,"2,5"
Vertoz Advertising,VERZ,NSE,Услуги связи,"-2,78"
Vesuvius India,VESU,NSE,Промышленность,"-1,46"
VETO Switch Gears Cables,VETO,NSE,Промышленность,"-1,68"
V Guard Industries,VGUA,NSE,Промышленность,"0,82"
Viceroy Hotels Ltd,VICE,NSE,Потребительский сектор,-4
Vishnu Chemicals Ltd,VICH,NSE,Материалы,"-1,76"
Vidhi Dyestuffs Manufacturing,VIDH,NSE,Материалы,"0,18"
Vikas Ecotech,VIEC,NSE,Материалы,"1,52"
Vishal Fabrics,VIFA,NSE,Потребительский сектор,"-2,31"
MPS Infotecnics,VIFY,NSE,Информационные технологии,0
Vijaya Diagnostic Centre,VIJA,NSE,Здравоохранение,"-1,87"
Viji Finance,VIJI,NSE,Финансы,"-3,64"
Vikas Lifecare,VIKR,NSE,Промышленность,"3,03"
Vikas Proppant,VIKS,NSE,Материалы,0
Vimta Labs Ltd,VIML,NSE,Здравоохранение,"-1,86"
Vineet Laboratories,VINL,NSE,Здравоохранение,"9,78"
Vinny Overseas,VINN,NSE,Потребительский сектор,0
VIP Clothing,VIPC,NSE,Потребительский сектор,"-2,03"
VIP Industries,VIPI,NSE,Потребительский сектор,"-0,67"
Vipul Ltd,VIPL,NSE,Недвижимость,"4,9"
Visagar Polytex Ltd,VIPO,NSE,Потребительский сектор,"3,85"
Virescent Renewable Energy Trust Unt,VIRE,NSE,Финансы,0
Visa Steel Ltd,VISA,NSE,Материалы,"0,35"
ED Tech International,VISU,NSE,Потребительский сектор,0
Vivo Collaboration Solutions,VIVL,NSE,Услуги связи,"-4,94"
V L S Finance Ltd,VLSF,NSE,Финансы,"-1,88"
Value Industries Ltd,VLUE,NSE,Потребительский сектор,0
VMarc India,VMAC,NSE,Промышленность,"2,62"
V Mart Retail Ltd,VMAR,NSE,Потребительский сектор,"-1,09"
Vindhya Telelinks Ltd,VNDY,NSE,Информационные технологии,"5,94"
Vishwaraj Sugar Industries Ltd,VNSS,NSE,Производители товаров массового потребления,"-0,87"
Vinati Organics Ltd,VNTI,NSE,Материалы,"-1,09"
Vinyl Chemicals India Ltd,VNYL,NSE,Промышленность,"0,12"
Vodafone Idea,VODA,NSE,Услуги связи,"-3,3"
Voltas,VOLT,NSE,Промышленность,"-1,2"
Voltamp Transformers Ltd,VOTL,NSE,Промышленность,"-1,43"
Vardhman Holdings Ltd,VRDM,NSE,Финансы,"1,1"
V2 Retail Ltd,VREL,NSE,Потребительский сектор,"-2,34"
VRL Logistics Ltd,VRLL,NSE,Промышленность,"-1,46"
Visaka Industries Ltd,VSKI,NSE,Материалы,"-4,4"
VST Tillers Tractors Ltd,VST,NSE,Промышленность,"-2,82"
VST Industries,VSTI,NSE,Производители товаров массового потребления,"-0,36"
Vivimed Labs Ltd,VVMD,NSE,Здравоохранение,"-0,99"
Vikas Wsp Ltd BSE,VWSP,NSE,Материалы,0
Walchandnagar Industries,WALC,NSE,Промышленность,"-1,64"
Walpar Nutritions,WALP,NSE,Производители товаров массового потребления,"-3,17"
Wanbury Ltd,WANB,NSE,Здравоохранение,"-2,11"
Wockhardt,WCKH,NSE,Здравоохранение,"-3,96"
Wealth First Portfolio Managers,WEAL,NSE,Финансы,"2,49"
Western India Plywoods,WEIP,NSE,Материалы,"2,69"
Weizmann Ltd,WEIZ,NSE,Потребительский сектор,"3,49"
Welspun Enterprises,WELS,NSE,Промышленность,0
Websol Energy System Ltd,WESL,NSE,Информационные технологии,"-0,55"
Westlife Development Ltd-BO,WEST,NSE,Потребительский сектор,"-0,59"
We Win Ltd,WEWI,NSE,Информационные технологии,"-4,6"
Welspun Corp,WGSR,NSE,Материалы,"-1,73"
Wheels India Ltd,WHEL,NSE,Потребительский сектор,"-1,51"
Whirlpool of India,WHIR,NSE,Потребительский сектор,"0,27"
Welspun Invest Commercials,WICL,NSE,Финансы,"-3,08"
Williamson Magor Co Ltd,WILM,NSE,Финансы,"-4,93"
Windsor Machines Ltd,WIND,NSE,Промышленность,"-2,65"
Windlas Biotech,WINL,NSE,Здравоохранение,"-2,11"
WINPRO INDUSTRIES LIMITED,WINP,NSE,Услуги связи,"-1,79"
Winsome Yarns Ltd,WINY,NSE,Потребительский сектор,0
Wipro,WIPR,NSE,Информационные технологии,"0,01"
Welspun,WLSP,NSE,Потребительский сектор,"-0,89"
Wendt India Ltd,WNDT,NSE,Промышленность,"-0,21"
Wonderla Holidays Ltd,WOHL,NSE,Потребительский сектор,"-0,2"
Wonder Fibromats,WOND,NSE,Информационные технологии,"-3,74"
Worth Peripherals,WORP,NSE,Материалы,"-2,16"
W.S. Industries India Ltd,WSIN,NSE,Промышленность,0
West Coast Paper Mills,WSTC,NSE,Материалы,"3,61"
Waterbase,WTRB,NSE,Производители товаров массового потребления,"-1,34"
Xchanging Solutions Ltd,XCHA,NSE,Информационные технологии,"-0,12"
Xelpmoc Design and Tech,XELP,NSE,Информационные технологии,"-1,7"
Xpro India Ltd,XPRO,NSE,Материалы,"-1,65"
Yaarii Digital Integrated Services,YAAR,NSE,Промышленность,"-2,28"
Yes Bank,YESB,NSE,Финансы,"-1,21"
Yuken India,YUKE,NSE,Промышленность,"-0,88"
Zodiac Clothing Company,ZCCL,NSE,Потребительский сектор,"-2,05"
Zee Entertainment Enterprises,ZEE,NSE,Услуги связи,"-1,56"
Zee Entertainment,ZEE_p,NSE,Услуги связи,0
Zee Learn Ltd,ZEEE,NSE,Потребительский сектор,"-1,34"
Zee Media Corp Ltd,ZEEN,NSE,Услуги связи,"-2,29"
Zensar Tech,ZENT,NSE,Информационные технологии,"0,8"
Zenith Exports Ltd,ZENX,NSE,Потребительский сектор,"19,96"
Zen Technologies Ltd,ZETE,NSE,Информационные технологии,"-1,46"
ZF Commercial Vehicle Control Systems India,ZFCV,NSE,Потребительский сектор,"1,56"
Zicom Electronic Security Systems,ZICO,NSE,Информационные технологии,0
Zenith Birla India Ltd,ZNTH,NSE,Материалы,"-1,77"
Zodiac Energy,ZODA,NSE,Промышленность,"-2,61"
Zomato,ZOMT,NSE,Потребительский сектор,"-0,5"
Zota Health Care,ZOTA,NSE,Здравоохранение,"-1,75"
Zuari Agro Chemicals Ltd,ZUAR,NSE,Материалы,"2,03"
Zuari Industries,ZURI,NSE,Производители товаров массового потребления,"0,3"
Zydus Wellness,ZYDS,NSE,Производители товаров массового потребления,"-0,96"
Zydus Lifesciences,ZYDU,NSE,Здравоохранение,"0,47"
