Название,Тикер,Биржа,Cектор,Изм.%
Coromandel International,CORF,NSE,Материалы,"-1,87"
Coral India Finance,CORI,NSE,Промышленность,"-1,78"
Continental Seeds and Chemicals,COTN,NSE,Производители товаров массового потребления,0
Country Club Hospitality,COUN,NSE,Потребительский сектор,"-2,45"
Craftsman Automation,CRAF,NSE,Промышленность,"0,02"
Carborundum Universal,CRBR,NSE,Материалы,"-0,04"
CreditAccess Grameen,CRDE,NSE,Финансы,"-0,32"
Creative Peripherals,CREA,NSE,Информационные технологии,"-0,98"
CARE Ratings,CREI,NSE,Финансы,"-1,32"
Cantabil Retail India Ltd,CRIL,NSE,Потребительский сектор,"-0,52"
Crompton Greaves Consumer Electricals Ltd,CROP,NSE,Потребительский сектор,"-2,1"
Crown Lifters,CROW,NSE,Промышленность,"-1,84"
CRISIL,CRSL,NSE,Финансы,"-1,58"
Crest Ventures Ltd,CRSV,NSE,Финансы,"-3,62"
Csb Bank,CSBB,NSE,Финансы,"-1,51"
Cosmo Films Ltd,CSFL,NSE,Материалы,"-2,24"
City Union Bank,CTBK,NSE,Финансы,"-0,06"
Cybertech Systems Software,CTSS,NSE,Информационные технологии,"-1,6"
Cubex Tubings Ltd,CUBE,NSE,Материалы,"0,36"
Cupid,CUCO,NSE,Производители товаров массового потребления,"6,43"
Cummins India Ltd,CUMM,NSE,Промышленность,"-1,4"
Cyber Media India,CYBM,NSE,Услуги связи,"4,84"
Cyient Ltd-B,CYIE,NSE,Информационные технологии,"-0,52"
Dabur India,DABU,NSE,Производители товаров массового потребления,"-2,26"
Dalmia Bharat B,DALB,NSE,Материалы,"0,23"
Damodar Industries,DAMD,NSE,Потребительский сектор,"-2,21"
The Dhampur Sugar Mills,DAMS,NSE,Производители товаров массового потребления,"-0,91"
Dangee Dums,DANG,NSE,Производители товаров массового потребления,"-1,3"
Datamatics Global Services Ltd,DATC,NSE,Информационные технологии,"-1,73"
Data Patterns,DATP,NSE,Промышленность,"-0,99"
DB Corp Ltd,DBCL,NSE,Услуги связи,"-3,37"
D B Realty,DBRL,NSE,Недвижимость,"4,96"
DB International Stock Brokers,DBSB,NSE,Финансы,"4,76"
DCB Bank,DCBA,NSE,Финансы,"0,1"
DCM Financial Services,DCFS,NSE,Финансы,"-4,35"
DC Infotech and Communication,DCIN,NSE,Информационные технологии,0
DCM Shriram Ind,DCMI,NSE,Производители товаров массового потребления,"-0,91"
DCM Ltd,DCML,NSE,Промышленность,"5,48"
DCM Nouvelle,DCMN,NSE,Потребительский сектор,"-0,47"
DCM Shriram Consolidated,DCMS,NSE,Материалы,"1,83"
Deccan Cements,DCNC,NSE,Материалы,"-2,01"
DCW,DCWL,NSE,Материалы,"-0,61"
Debock Sales,DEBO,NSE,Промышленность,"-1,46"
Deep Energy Resources,DEEE,NSE,Энергетика,5
Deep Industries,DEEI,NSE,Энергетика,"0,92"
Delhivery,DELH,NSE,Промышленность,"-3,56"
Delta Corp,DELT,NSE,Потребительский сектор,"0,64"
